,Team1_summonerId_1,Team1_summonerId_2,Team1_summonerId_3,Team1_summonerId_4,Team1_summonerId_5,Team1_win,Team2_summonerId_1,Team2_summonerId_2,Team2_summonerId_3,Team2_summonerId_4,Team2_summonerId_5,Team2_win,gameId
games,29737467,19806326,33484086,22709393.0,70027323.0,True,42287489,24258347,36029612,93998864.0,61666806.0,False,3145936245
games,29737467,41579202,28931680,38467844.0,61149024.0,False,97408299,37047002,43803368,48628389.0,72484140.0,True,3145685412
games,20053332,30001868,20801650,74406.0,43729955.0,False,83180,23735326,20537397,93998864.0,72857387.0,True,3146489324
games,20053332,27346255,90498329,20046358.0,40956931.0,True,19682844,21139079,24010336,51628250.0,37916855.0,False,3146511617
games,20053332,19151853,22392945,22331014.0,20747228.0,True,42287489,83180,38515770,19920657.0,32317426.0,False,3145373845
games,20053332,40522268,60662042,39407303.0,49600961.0,False,20532003,52683961,38564299,51490643.0,20277117.0,True,3142442005
games,20053332,21106972,40522268,19568979.0,39407303.0,False,60620471,50489074,51875686,53783039.0,23204628.0,True,3142376616
games,20053332,23307330,42256924,19240537.0,19603230.0,True,19151853,95166805,93977004,53436826.0,95927411.0,False,3142090643
games,20053332,20704927,54367179,31470697.0,36807499.0,True,89187062,27361426,95876997,28324614.0,44748051.0,False,3141943310
games,20053332,19149907,36467479,21608444.0,94987702.0,False,20318609,94418904,74067492,72857387.0,97607448.0,True,3141735577
games,20053332,34148603,54367179,94418904.0,19889228.0,True,30001868,23436923,23717728,35769412.0,97607448.0,False,3141634870
games,20053332,20537397,23717728,35769412.0,44746989.0,False,19151853,53436826,19889228,74067492.0,97607448.0,True,3141577888
games,20101413,24890625,38515770,29069277.0,71347822.0,True,95166906,39947383,77727436,93998864.0,37933039.0,False,3145088283
games,20101413,34148603,94418813,39995349.0,72857387.0,False,23441464,22481879,23483486,86777339.0,20717177.0,True,3143774446
games,20101413,43573667,40956922,42035133.0,78066888.0,False,73687170,39650998,244732,88948765.0,41528584.0,True,3140046787
games,20101413,40634635,20778901,93998864.0,20717177.0,False,19652383,42256924,47428011,71136981.0,95927411.0,True,3135074972
games,20101413,94808591,42256924,97539969.0,23832178.0,True,19666136,19806326,21500820,19160377.0,41528584.0,False,3134029561
games,20101413,21302646,35432335,94418821.0,97539969.0,True,19666136,26656911,36467479,97187059.0,33707181.0,False,3133705771
games,20101413,21302646,35432335,94418821.0,81198200.0,True,84326864,69868138,97187059,21800660.0,43747714.0,False,3133648805
games,20101413,86878959,41518117,21800660.0,94418904.0,True,95166906,85998367,69868138,27373063.0,21580625.0,False,3133630936
games,20101413,95206801,21580625,19828997.0,95206798.0,True,64086141,33088057,36940018,43584936.0,94418904.0,False,3133527889
games,20101413,94808591,58057567,19833744.0,81198200.0,False,19538899,81578128,21608444,20053332.0,22275693.0,True,3132640730
games,20965425,21302646,25532701,97717284.0,20717177.0,False,84326864,42256924,93647556,19828997.0,44246839.0,True,3146553112
games,20965425,36467479,21999355,20276841.0,97717284.0,False,44248954,77350121,29718131,20717177.0,22066309.0,True,3146498590
games,20965425,39353070,19621488,21378061.0,38491080.0,True,65446892,47237252,29723551,26577387.0,51772131.0,False,3145829453
games,20965425,58267469,42256924,36029612.0,23556507.0,True,21045313,21112717,20143895,43749748.0,48628389.0,False,3145784164
games,20965425,22107301,19654100,42256924.0,38467844.0,True,97408299,24258347,37047002,48628389.0,44748051.0,False,3145726850
games,20965425,29522003,95136910,292470.0,44748051.0,True,57346994,42256924,22331014,38584693.0,32772336.0,False,3145695143
games,20965425,35047682,25172606,82746988.0,32772336.0,False,57346994,28931680,23717728,86377408.0,38584693.0,True,3145635430
games,20965425,30001868,94567028,22043009.0,39621089.0,False,86797333,21726747,74067492,33387922.0,42829492.0,True,3145194801
games,26316897,64086141,20537397,97717284.0,95206798.0,True,69868142,81578128,95597874,19828997.0,44246839.0,False,3146621776
games,26316897,33678783,27361426,65227634.0,27373063.0,True,30001868,60607879,42256924,24475395.0,20747228.0,False,3143142974
games,26316897,19149907,24475395,58848462.0,43691893.0,False,21394155,33678783,21774730,86259309.0,22709393.0,True,3143044580
games,26316897,90248741,21800660,27427030.0,52312462.0,True,20318609,42287489,19806326,97717284.0,97607448.0,False,3141142531
games,26316897,44248954,95136909,94789011.0,41523185.0,True,43800383,20537397,21556034,48617233.0,19642904.0,False,3139065044
